澳门,#genre#
澳视澳门,https://pi.0472.org/tv/asam.php?auth=2309081833
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
明珠台,https://pi.0472.org/tv/mzt.php?auth=230918
梨园频道,https://pi.0472.org/tv/hn.php?id=154
澳视澳门,https://pi.0472.org/tv/asam.php?auth=230918
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=230918
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=2309081833
明珠台,https://pi.0472.org/tv/mzt.php?auth=2309081833
翡翠台,https://pi.0472.org/tv/fct.php?auth=2309081833
澳门2_611,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
TJB 대전방송(SBS 大田),https://pulltv1.wanfudaluye.com/live/tv1.m3u8
半岛电视台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
吉林卫视,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
澳门2_609,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8?$1280x720
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8?$1280x720
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
DaAi 1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
